"హలో","hello"
"నేను విశ్రాంతి తీసుకోవాలి.","i need to rest."
"తరువాత మీతో మాట్లాడండి.","talk to you later."
"నా మార్గంలో.","on my way."
"వెంటనే తిరిగి ఉండండి.","be right back."
"అది ఫన్నీ.","that's funny."
"అది చాలా బాగుంది!","that's great!"
"ఓహ్ మై గాడ్!","oh my god!"
"అభినందనలు!","congratulations!"
"పుట్టినరోజు శుభాకాంక్షలు!","happy birthday!"
"నేను మిస్ మిస్.","i miss you."
"నేను నిన్ను ప్రేమిస్తున్నాను.","i love you."
"నన్ను పిలవండి.","call me."
"నాకు టెక్స్ట్ చేయండి.","text me."
"ఈ రోజు మీ ప్రణాళికలు ఏమిటి?","what are your plans for today?"
"మీరు రేపు స్వేచ్ఛగా ఉన్నారా?","are you free tomorrow?"
"నేను దాని కోసం ఎదురు చూస్తున్నాను.","i am looking forward to it."
"ఇది అత్యవసరం.","it's urgent."
"చింతించకండి.","don't worry."
"ఇది సరే.","it's okay."
"ఇది అద్భుతమైనది!","that's amazing!"
"నేను చాలా సంతోషంగా ఉన్నాను.","i am so happy."
"నేను చాలా విచారంగా ఉన్నాను.","i am so sad."
"నేను సంతోషిస్తున్నాను.","i am excited."
"నేను విసుగు చెందాను.","i am bored."
"నేను వెళ్ళాలి.","i have to go."
"నేను అక్కడ ఉంటాను.","i will be there."
"నాకు సహాయం కావాలి.","i need help."
"ఒక్క క్షణం వేచి ఉండండి.","wait a moment."
"నేను తమాషా చేస్తున్నాను.","i am just kidding."
"నాకు ఖచ్చితంగా తెలియదు.","i am not sure."
"నాకు తెలియదు.","i have no idea."
"ఇది అందంగా ఉంది.","it's beautiful."
"ఇది రుచికరమైనది.","it's delicious."
"నేను అనారోగ్యంతో ఉన్నాను.","i am feeling sick."
"త్వరగా బాగుపడండి.","get well soon."
"మేము ఎక్కడికి వెళ్తున్నాము?","where are we going?"
"నేను కోల్పోయాను.","i'm lost."
"మీరు దానిని పునరావృతం చేయగలరా?","can you repeat that?"
"నెమ్మదిగా మాట్లాడండి.","speak slowly."
"ఇది ఏమిటి?","what is this?"
"ఇది ఎంత?","how much is this?"
"నేను తీసుకుంటాను.","i'll take it."
"మీకు ఇది మరొక రంగులో ఉందా?","do you have this in another color?"
"నేను ఎక్కడ కనుగొనగలను ...?","where can i find...?"
"నేను చూస్తున్నాను.","i'm just looking."
"గొప్ప రోజు!","have a great day!"
"మీరు కూడా!","you too!"
"అదృష్టం!","good luck!"
"lol","lol"
"brb","brb"
"OMW","omw"
"btw","btw"
"IMO","imo"
"TTYL","ttyl"
"idk","idk"
"ASAP","asap"
"ఫోమో","fomo"
"మేక","goat"
"వెలిగించండి","lit"
"ఫ్లెక్స్","flex"
"ఉప్పగా","salty"
"టోపీ","cap"
"అభినందనలు","congrats"
"ధన్యవాదాలు","thanks"
"sup","sup"
"యో","yo"
"వాసి","dude"
"బ్రో","bro"
"సిస్","sis"
"మనిషి","man"
"స్త్రీ","woman"
"అమ్మాయి","girl"
"అబ్బాయి","boy"
"వ్యక్తి","person"
"ప్రజలు","people"
"క్షణం","moment"
"మార్గం","way"
"భాగం","part"
"సమూహం","group"
"కంపెనీ","company"
"ప్రశ్న","question"
"వాస్తవం","fact"
"కథ","story"
"పుస్తకం","book"
"సంగీతం","music"
"కళ","art"
"చిత్రం","image"
"చిత్రం","picture"
"రంగు","color"
"గాలి","air"
"అగ్ని","fire"
"భూమి","earth"
"సూర్యుడు","sun"
"చంద్రుడు","moon"
"స్టార్","star"
"ఆకాశం","sky"
"సముద్రం","sea"
"నది","river"
"పర్వతం","mountain"
"చెట్టు","tree"
"పువ్వు","flower"
"జంతువు","animal"
"కుక్క","dog"
"పిల్లి","cat"
"పక్షి","bird"
"చేప","fish"
"ఇల్లు","house"
"గది","room"
"తలుపు","door"
"విండో","window"
"వీధి","street"
"రోడ్","road"
"పట్టణం","town"
"గ్రామం","village"
"విశ్వవిద్యాలయం","university"
"కెరీర్","career"
"ధర","price"
"ఖర్చు","cost"
"మార్పు","change"
"వార్తలు","news"
"సమాచారం","information"
"డేటా","data"
"వ్యవస్థ","system"
"ప్రోగ్రామ్","program"
"ప్రాజెక్ట్","project"
"జట్టు","team"
"సభ్యుడు","member"
"నాయకుడు","leader"
"బాస్","boss"
"విద్యార్థి","student"
"గురువు","teacher"
"డాక్టర్","doctor"
"న్యాయవాది","lawyer"
"ఇంజనీర్","engineer"
"కళాకారుడు","artist"
"రచయిత","writer"
"ప్లేయర్","player"
"అభిమాని","fan"
"శత్రువు","enemy"
"శాంతి","peace"
"యుద్ధం","war"
"హోప్","hope"
"భయం","fear"
"కల","dream"
"రియాలిటీ","reality"
"నిజం","truth"
"అబద్ధం","lie"
"చరిత్ర","history"
"భవిష్యత్తు","future"
"గత","past"
"ప్రస్తుతం","present"
"ఎలా","How"
"కేవలం","just"
"kidding","kidding"
"ప్రేమ","Prem"
"ఉన్నాను","am"
"ఉన్నారు","are"
