हॅलो,வணக்கம்
वर,at
टू,to
सह,உடன்
पासून,இருந்து
बद्दल,பற்றி
च्या,of
"मी ठीक आहे, धन्यवाद.","நான் நன்றாக இருக்கிறேன், நன்றி."
माझे नाव आहे ...,என் பெயர் ...
तुला भेटून आनंद झाला.,உங்களை சந்தித்ததில் மகிழ்ச்சி.
मला माफ करा.,மன்னிக்கவும்.
मी पासून आहे ...,நான் இருந்து ...
आपण मला मदत करू शकता?,நீங்கள் எனக்கு உதவ முடியுமா?
मला माहित नाही.,எனக்குத் தெரியாது.
मला समजत नाही.,எனக்கு புரியவில்லை.
चला जाऊया.,போகலாம்.
जास्त काही नाही.,அதிகம் எதுவும் இல்லை.
ते चांगले होते.,அது நன்றாக இருந்தது.
मला तहान लागली आहे.,எனக்கு தாகம் இருக்கிறது.
प्रसाधनगृह कुठे आहे?,ரெஸ்ட் ரூம் எங்குள்ளது?
मला विश्रांती घेण्याची गरज आहे.,நான் ஓய்வெடுக்க வேண்டும்.
नंतर आपल्याशी बोला.,உங்களுடன் பின்னர் பேசுங்கள்.
माझ्या मार्गावर.,என் வழியில்.
बरोबर परत व्हा.,வலதுபுறம் இருங்கள்.
ते मजेदार आहे.,அது வேடிக்கையானது.
ते छान आहे!,அது பெரியது!
अरे देवा!,கடவுளே!
अभिनंदन!,வாழ்த்துக்கள்!
वाढदिवसाच्या हार्दिक शुभेच्छा!,பிறந்தநாள் வாழ்த்துக்கள்!
मला तुझी आठवण येते.,நான் உன்னை இழக்கிறேன்.
मी तुझ्यावर प्रेम करतो.,நான் உன்னை நேசிக்கிறேன்.
मला कॉल करा.,என்னை அழைக்கவும்.
मला मजकूर पाठवा.,எனக்கு உரை அனுப்பவும்.
आज आपल्या काय योजना आहेत?,இன்றைய உங்கள் திட்டங்கள் என்ன?
आपण उद्या मुक्त आहात?,நாளை நீங்கள் இலவசமா?
मी याची अपेक्षा करीत आहे.,நான் அதை எதிர்பார்க்கிறேன்.
हे तातडीचे आहे.,இது அவசரம்.
काळजी करू नका.,கவலைப்பட வேண்டாம்.
हे ठीक आहे.,பரவாயில்லை.
ते आश्चर्यकारक आहे!,அது ஆச்சரியமாக இருக்கிறது!
मी खूप आनंदी आहे.,நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
मी खूप दु: खी आहे.,நான் மிகவும் சோகமாக இருக்கிறேன்.
मी उत्साहित आहे.,நான் உற்சாகமாக இருக்கிறேன்.
मी कंटाळलो आहे.,எனக்கு சலிப்பு.
मला जावे लागेल.,நான் செல்ல வேண்டும்.
मी तिथे असेल.,நான் அங்கே இருப்பேன்.
मला मदतीची आवश्यकता आहे.,எனக்கு உதவி தேவை.
एक क्षण थांबा.,ஒரு கணம் காத்திருங்கள்.
मी फक्त गंमत करत आहे.,நான் விளையாடுகிறேன்.
मला खात्री नाही.,எனக்கு நிச்சயமாகத் தெரியவில்லை.
मला कल्पना नाही.,எனக்கு எதுவும் தெரியாது.
ते सुंदर आहे.,இது அழகாக இருக்கிறது.
हे मधुर आहे.,இது சுவையாக இருக்கிறது.
मी आजारी आहे.,எனக்கு உடம்பு சரியில்லை.
लवकरच बरे व्हा.,விரைவில் குணமடையுங்கள்.
आम्ही कुठे जात आहोत?,நாங்கள் எங்கே போகிறோம்?
मी हरवले आहे.,நான் தொலைந்துவிட்டேன்.
आपण याची पुनरावृत्ती करू शकता?,அதை மீண்டும் செய்ய முடியுமா?
हळू हळू बोला.,மெதுவாக பேசுங்கள்.
हे काय आहे?,இது என்ன?
हे किती आहे?,இது எவ்வளவு?
मी ते घेईन.,நான் அதை எடுத்துக்கொள்வேன்.
आपल्याकडे हे दुसर्‍या रंगात आहे का?,உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?
मला कुठे सापडेल ...?,நான் எங்கே காணலாம் ...?
मी फक्त पहात आहे.,நான் பார்க்கிறேன்.
आपला दिवस चांगला जावो!,ஒரு சிறந்த நாள்!
तूसुद्धा!,நீங்களும்!
शुभेच्छा!,நல்ல அதிர்ஷ்டம்!
LOL,lol
बीआरबी,Brb
ओएमडब्ल्यू,OMW
बीटीडब्ल्यू,btw
आयएमओ,IMO
ttyl,ttyl
आयडीके,idk
शक्य तितक्या लवकर,விரைவில்
FOMO,ஃபோமோ
बकरी,ஆடு
लिट,லைட்
फ्लेक्स,நெகிழ்வு
खारट,உப்பு
कॅप,தொப்பி
अभिनंदन,வாழ்த்துக்கள்
धन्यवाद,நன்றி
सुप,சுப்
यो,யோ
मुला,கனா
भाऊ,சகோ
sis,சிஸ்
माणूस,மனிதன்
स्त्री,பெண்
मुलगी,பெண்
मुलगा,பையன்
व्यक्ती,நபர்
लोक,மக்கள்
क्षण,கணம்
मार्ग,வழி
भाग,பகுதி
गट,குழு
कंपनी,நிறுவனம்
प्रश्न,கேள்வி
वस्तुस्थिती,உண்மை
कथा,கதை
पुस्तक,புத்தகம்
संगीत,இசை
कला,கலை
प्रतिमा,படம்
चित्र,படம்
रंग,நிறம்
हवा,காற்று
आग,தீ
पृथ्वी,பூமி
सूर्य,சூரியன்
चंद्र,சந்திரன்
तारा,நட்சத்திரம்
आकाश,வானம்
समुद्र,கடல்
नदी,நதி
माउंटन,மலை
झाड,மரம்
फ्लॉवर,மலர்
प्राणी,விலங்கு
कुत्रा,நாய்
मांजर,பூனை
पक्षी,பறவை
मासे,மீன்
घर,வீடு
खोली,அறை
दरवाजा,கதவு
विंडो,சாளரம்
रस्ता,தெரு
रस्ता,சாலை
शहर,நகரம்
गाव,கிராமம்
विद्यापीठ,பல்கலைக்கழகம்
करिअर,தொழில்
किंमत,விலை
किंमत,செலவு
बदला,மாற்றம்
बातम्या,செய்தி
माहिती,தகவல்
डेटा,தரவு
प्रणाली,அமைப்பு
कार्यक्रम,திட்டம்
प्रकल्प,திட்டம்
टीम,அணி
सदस्य,உறுப்பினர்
नेता,தலைவர்
बॉस,பாஸ்
विद्यार्थी,மாணவர்
शिक्षक,ஆசிரியர்
डॉक्टर,மருத்துவர்
वकील,வழக்கறிஞர்
अभियंता,பொறியாளர்
कलाकार,கலைஞர்
लेखक,எழுத்தாளர்
प्लेअर,வீரர்
चाहता,விசிறி
शत्रू,எதிரி
शांतता,அமைதி
युद्ध,போர்
आशा,நம்பிக்கை
भीती,பயம்
स्वप्न,கனவு
वास्तविकता,உண்மை
सत्य,உண்மை
खोटे बोलणे,பொய்
इतिहास,வரலாறு
भविष्य,எதிர்காலம்
भूतकाळ,கடந்த
उपस्थित,தற்போது
कसे,எப்படி
फक्त,மட்டும்
मस्करी,சும்மா சொன்னேன்
Prem,ப்ரேம்
आहे,இருக்கிறேன்
prem,ப்ரேம்
आहेत,இருக்கிறார்கள்"
