"हॅलो","హలో"
"जीवन","జీవితం"
"नोकरी","ఉద్యోగం"
"कार","కారు"
"दुचाकी","బైక్"
"बस","బస్సు"
"ट्रेन","రైలు"
"जा","వెళ్ళు"
"या","రండి"
"पहा","చూడండి"
"पहा","చూడండి"
"पहा","చూడండి"
"ऐका","వినండి"
"खा","తినండి"
"प्या","పానీయం"
"झोप","నిద్ర"
"प्रतीक्षा करा","వేచి ఉండండి"
"चर्चा","చర్చ"
"बोला","మాట్లాడండి"
"म्हणा","చెప్పండి"
"सांगा","చెప్పండి"
"विचारा","అడగండి"
"उत्तर","సమాధానం"
"माहित आहे","తెలుసు"
"विचार करा","ఆలోచించండి"
"समजून घ्या","అర్థం చేసుకోండి"
"म्हणजे","సగటు"
"खेळा","ఆడండి"
"आवडले","ఇష్టం"
"द्वेष","ద్వేషం"
"हवे आहे","కావాలి"
"गरज","అవసరం"
"द्या","ఇవ్వండి"
"घ्या","తీసుకోండి"
"पाठवा","పంపండి"
"प्राप्त","స్వీకరించండి"
"कॉल","కాల్"
"भेटा","కలుసుకోండి"
"प्रारंभ करा","ప్రారంభించండి"
"थांबवा","ఆపు"
"समाप्त","ముగించు"
"प्रयत्न करा","ప్రయత్నించండి"
"करा","చేయండి"
"बनवा","చేయండి"
"आनंदी","సంతోషంగా ఉంది"
"दु: खी","విచారంగా ఉంది"
"राग","కోపం"
"थकलेले","అలసిపోతుంది"
"भुकेले","ఆకలితో"
"व्यस्त","బిజీ"
"मुक्त","ఉచితం"
"नवीन","క్రొత్తది"
"जुने","పాత"
"मोठे","పెద్దది"
"लहान","చిన్నది"
"लांब","లాంగ్"
"लहान","చిన్నది"
"गरम","వేడి"
"थंड","చలి"
"छान","బాగుంది"
"सुंदर","అందమైన"
"छान","అద్భుతం"
"आश्चर्यकारक","అమేజింగ్"
"खरोखर","నిజంగా"
"खूप","చాలా"
"तर","కాబట్టి"
"खूप","చాలా"
"मग","అప్పుడు"
"कधीकधी","కొన్నిసార్లు"
"अनेकदा","తరచుగా"
"पुन्हा","మళ్ళీ"
"वेगवान","వేగంగా"
"हळू","నెమ్మదిగా"
"लवकर","ప్రారంభంలో"
"उशीरा","ఆలస్యంగా"
"आणि","మరియు"
"पण","కానీ"
"किंवा","లేదా"
"कारण","ఎందుకంటే"
"जर","ఉంటే"
"साठी","కోసం"
"मध्ये","ఇన్"
"चालू","ఆన్"
"वर","వద్ద"
"टू","to"
"सह","తో"
"पासून","నుండి"
"बद्दल","గురించి"
"च्या","యొక్క"
"मी ठीक आहे, धन्यवाद.","నేను బాగున్నాను, ధన్యవాదాలు."
"माझे नाव आहे ...","నా పేరు ..."
"तुला भेटून आनंद झाला.","మిమ్మల్ని కలవడం ఆనందంగా ఉంది."
"मला माफ करा.","నన్ను క్షమించండి."
"मी पासून आहे ...","నేను నుండి ..."
"आपण मला मदत करू शकता?","మీరు నాకు సహాయం చేయగలరా?"
"मला माहित नाही.","నాకు తెలియదు."
"मला समजत नाही.","నాకు అర్థం కాలేదు."
"चला जाऊया.","వెళ్దాం."
"जास्त काही नाही.","పెద్దగా ఏమీ లేదు."
"ते चांगले होते.","ఇది మంచిది."
"मला तहान लागली आहे.","నాకు దాహం ఉంది."
"प्रसाधनगृह कुठे आहे?","రెస్ట్‌రూమ్ ఎక్కడ ఉంది?"
"मला विश्रांती घेण्याची गरज आहे.","నేను విశ్రాంతి తీసుకోవాలి."
"नंतर आपल्याशी बोला.","తరువాత మీతో మాట్లాడండి."
"माझ्या मार्गावर.","నా మార్గంలో."
"बरोबर परत व्हा.","వెంటనే తిరిగి ఉండండి."
"ते मजेदार आहे.","అది ఫన్నీ."
"ते छान आहे!","అది చాలా బాగుంది!"
"अरे देवा!","ఓహ్ మై గాడ్!"
"अभिनंदन!","అభినందనలు!"
"वाढदिवसाच्या हार्दिक शुभेच्छा!","పుట్టినరోజు శుభాకాంక్షలు!"
"मला तुझी आठवण येते.","నేను మిస్ మిస్."
"मी तुझ्यावर प्रेम करतो.","నేను నిన్ను ప్రేమిస్తున్నాను."
"मला कॉल करा.","నన్ను పిలవండి."
"मला मजकूर पाठवा.","నాకు టెక్స్ట్ చేయండి."
"आज आपल्या काय योजना आहेत?","ఈ రోజు మీ ప్రణాళికలు ఏమిటి?"
"आपण उद्या मुक्त आहात?","మీరు రేపు స్వేచ్ఛగా ఉన్నారా?"
"मी याची अपेक्षा करीत आहे.","నేను దాని కోసం ఎదురు చూస్తున్నాను."
"हे तातडीचे आहे.","ఇది అత్యవసరం."
"काळजी करू नका.","చింతించకండి."
"हे ठीक आहे.","ఇది సరే."
"ते आश्चर्यकारक आहे!","ఇది అద్భుతమైనది!"
"मी खूप आनंदी आहे.","నేను చాలా సంతోషంగా ఉన్నాను."
"मी खूप दु: खी आहे.","నేను చాలా విచారంగా ఉన్నాను."
"मी उत्साहित आहे.","నేను సంతోషిస్తున్నాను."
"मी कंटाळलो आहे.","నేను విసుగు చెందాను."
"मला जावे लागेल.","నేను వెళ్ళాలి."
"मी तिथे असेल.","నేను అక్కడ ఉంటాను."
"मला मदतीची आवश्यकता आहे.","నాకు సహాయం కావాలి."
"एक क्षण थांबा.","ఒక్క క్షణం వేచి ఉండండి."
"मी फक्त गंमत करत आहे.","నేను తమాషా చేస్తున్నాను."
"मला खात्री नाही.","నాకు ఖచ్చితంగా తెలియదు."
"मला कल्पना नाही.","నాకు తెలియదు."
"ते सुंदर आहे.","ఇది అందంగా ఉంది."
"हे मधुर आहे.","ఇది రుచికరమైనది."
"मी आजारी आहे.","నేను అనారోగ్యంతో ఉన్నాను."
"लवकरच बरे व्हा.","త్వరగా బాగుపడండి."
"आम्ही कुठे जात आहोत?","మేము ఎక్కడికి వెళ్తున్నాము?"
"मी हरवले आहे.","నేను కోల్పోయాను."
"आपण याची पुनरावृत्ती करू शकता?","మీరు దానిని పునరావృతం చేయగలరా?"
"हळू हळू बोला.","నెమ్మదిగా మాట్లాడండి."
"हे काय आहे?","ఇది ఏమిటి?"
"हे किती आहे?","ఇది ఎంత?"
"मी ते घेईन.","నేను తీసుకుంటాను."
"आपल्याकडे हे दुसर्‍या रंगात आहे का?","మీకు ఇది మరొక రంగులో ఉందా?"
"मला कुठे सापडेल ...?","నేను ఎక్కడ కనుగొనగలను ...?"
"मी फक्त पहात आहे.","నేను చూస్తున్నాను."
"आपला दिवस चांगला जावो!","గొప్ప రోజు!"
"तूसुद्धा!","మీరు కూడా!"
"शुभेच्छा!","అదృష్టం!"
"LOL","lol"
"बीआरबी","brb"
"ओएमडब्ल्यू","OMW"
"बीटीडब्ल्यू","btw"
"आयएमओ","IMO"
"ttyl","TTYL"
"आयडीके","idk"
"शक्य तितक्या लवकर","ASAP"
"FOMO","ఫోమో"
"बकरी","మేక"
"लिट","వెలిగించండి"
"फ्लेक्स","ఫ్లెక్స్"
"खारट","ఉప్పగా"
"कॅप","టోపీ"
"अभिनंदन","అభినందనలు"
"धन्यवाद","ధన్యవాదాలు"
"सुप","sup"
"यो","యో"
"मुला","వాసి"
"भाऊ","బ్రో"
"sis","సిస్"
"माणूस","మనిషి"
"स्त्री","స్త్రీ"
"मुलगी","అమ్మాయి"
"मुलगा","అబ్బాయి"
"व्यक्ती","వ్యక్తి"
"लोक","ప్రజలు"
"क्षण","క్షణం"
"मार्ग","మార్గం"
"भाग","భాగం"
"गट","సమూహం"
"कंपनी","కంపెనీ"
"प्रश्न","ప్రశ్న"
"वस्तुस्थिती","వాస్తవం"
"कथा","కథ"
"पुस्तक","పుస్తకం"
"संगीत","సంగీతం"
"कला","కళ"
"प्रतिमा","చిత్రం"
"चित्र","చిత్రం"
"रंग","రంగు"
"हवा","గాలి"
"आग","అగ్ని"
"पृथ्वी","భూమి"
"सूर्य","సూర్యుడు"
"चंद्र","చంద్రుడు"
"तारा","స్టార్"
"आकाश","ఆకాశం"
"समुद्र","సముద్రం"
"नदी","నది"
"माउंटन","పర్వతం"
"झाड","చెట్టు"
"फ्लॉवर","పువ్వు"
"प्राणी","జంతువు"
"कुत्रा","కుక్క"
"मांजर","పిల్లి"
"पक्षी","పక్షి"
"मासे","చేప"
"घर","ఇల్లు"
"खोली","గది"
"दरवाजा","తలుపు"
"विंडो","విండో"
"रस्ता","వీధి"
"रस्ता","రోడ్"
"शहर","పట్టణం"
"गाव","గ్రామం"
"विद्यापीठ","విశ్వవిద్యాలయం"
"करिअर","కెరీర్"
"किंमत","ధర"
"किंमत","ఖర్చు"
"बदला","మార్పు"
"बातम्या","వార్తలు"
"माहिती","సమాచారం"
"डेटा","డేటా"
"प्रणाली","వ్యవస్థ"
"कार्यक्रम","ప్రోగ్రామ్"
"प्रकल्प","ప్రాజెక్ట్"
"टीम","జట్టు"
"सदस्य","సభ్యుడు"
"नेता","నాయకుడు"
"बॉस","బాస్"
"विद्यार्थी","విద్యార్థి"
"शिक्षक","గురువు"
"डॉक्टर","డాక్టర్"
"वकील","న్యాయవాది"
"अभियंता","ఇంజనీర్"
"कलाकार","కళాకారుడు"
"लेखक","రచయిత"
"प्लेअर","ప్లేయర్"
"चाहता","అభిమాని"
"शत्रू","శత్రువు"
"शांतता","శాంతి"
"युद्ध","యుద్ధం"
"आशा","హోప్"
"भीती","భయం"
"स्वप्न","కల"
"वास्तविकता","రియాలిటీ"
"सत्य","నిజం"
"खोटे बोलणे","అబద్ధం"
"इतिहास","చరిత్ర"
"भविष्य","భవిష్యత్తు"
"भूतकाळ","గత"
"उपस्थित","ప్రస్తుతం"
"कसे","ఎలా"
"फक्त","కేవలం"
"आहे","ఉన్నాను"
"आहेत","ఉన్నారు"
