"हॅलो","hello"
"आठवडा","week"
"महिना","month"
"वर्ष","year"
"संदेश","message"
"मजकूर","text"
"फोटो","photo"
"व्हिडिओ","video"
"गाणे","song"
"चित्रपट","movie"
"खेळ","game"
"अन्न","food"
"पाणी","water"
"चहा","tea"
"कॉफी","coffee"
"नाव","name"
"क्रमांक","number"
"पैसा","money"
"मदत","help"
"समस्या","problem"
"कल्पना","idea"
"गोष्ट","thing"
"गोष्टी","things"
"जीवन","life"
"नोकरी","job"
"कार","car"
"दुचाकी","bike"
"बस","bus"
"ट्रेन","train"
"जा","go"
"या","come"
"पहा","see"
"पहा","look"
"पहा","watch"
"ऐका","listen"
"खा","eat"
"प्या","drink"
"झोप","sleep"
"प्रतीक्षा करा","wait"
"चर्चा","talk"
"बोला","speak"
"म्हणा","say"
"सांगा","tell"
"विचारा","ask"
"उत्तर","answer"
"माहित आहे","know"
"विचार करा","think"
"समजून घ्या","understand"
"म्हणजे","mean"
"खेळा","play"
"आवडले","like"
"द्वेष","hate"
"हवे आहे","want"
"गरज","need"
"द्या","give"
"घ्या","take"
"पाठवा","send"
"प्राप्त","receive"
"कॉल","call"
"भेटा","meet"
"प्रारंभ करा","start"
"थांबवा","stop"
"समाप्त","finish"
"प्रयत्न करा","try"
"करा","do"
"बनवा","make"
"आनंदी","happy"
"दु: खी","sad"
"राग","angry"
"थकलेले","tired"
"भुकेले","hungry"
"व्यस्त","busy"
"मुक्त","free"
"नवीन","new"
"जुने","old"
"मोठे","big"
"लहान","small"
"लांब","long"
"लहान","short"
"गरम","hot"
"थंड","cold"
"छान","nice"
"सुंदर","beautiful"
"छान","awesome"
"आश्चर्यकारक","amazing"
"खरोखर","really"
"खूप","very"
"तर","so"
"खूप","too"
"मग","then"
"कधीकधी","sometimes"
"अनेकदा","often"
"पुन्हा","again"
"वेगवान","fast"
"हळू","slow"
"लवकर","early"
"उशीरा","late"
"आणि","and"
"पण","but"
"किंवा","or"
"कारण","because"
"जर","if"
"साठी","for"
"मध्ये","in"
"चालू","on"
"वर","at"
"टू","to"
"सह","with"
"पासून","from"
"बद्दल","about"
"च्या","of"
"मी ठीक आहे, धन्यवाद.","i am fine, thank you."
"माझे नाव आहे ...","my name is..."
"तुला भेटून आनंद झाला.","nice to meet you."
"मला माफ करा.","i'm sorry."
"मी पासून आहे ...","i am from..."
"आपण मला मदत करू शकता?","can you help me?"
"मला माहित नाही.","i don't know."
"मला समजत नाही.","i don't understand."
"चला जाऊया.","let's go."
"जास्त काही नाही.","nothing much."
"ते चांगले होते.","it was good."
"मला तहान लागली आहे.","i am thirsty."
"प्रसाधनगृह कुठे आहे?","where is the restroom?"
"मला विश्रांती घेण्याची गरज आहे.","i need to rest."
"नंतर आपल्याशी बोला.","talk to you later."
"माझ्या मार्गावर.","on my way."
"बरोबर परत व्हा.","be right back."
"ते मजेदार आहे.","that's funny."
"ते छान आहे!","that's great!"
"अरे देवा!","oh my god!"
"अभिनंदन!","congratulations!"
"वाढदिवसाच्या हार्दिक शुभेच्छा!","happy birthday!"
"मला तुझी आठवण येते.","i miss you."
"मी तुझ्यावर प्रेम करतो.","i love you."
"मला कॉल करा.","call me."
"मला मजकूर पाठवा.","text me."
"आज आपल्या काय योजना आहेत?","what are your plans for today?"
"आपण उद्या मुक्त आहात?","are you free tomorrow?"
"मी याची अपेक्षा करीत आहे.","i am looking forward to it."
"हे तातडीचे आहे.","it's urgent."
"काळजी करू नका.","don't worry."
"हे ठीक आहे.","it's okay."
"ते आश्चर्यकारक आहे!","that's amazing!"
"मी खूप आनंदी आहे.","i am so happy."
"मी खूप दु: खी आहे.","i am so sad."
"मी उत्साहित आहे.","i am excited."
"मी कंटाळलो आहे.","i am bored."
"मला जावे लागेल.","i have to go."
"मी तिथे असेल.","i will be there."
"मला मदतीची आवश्यकता आहे.","i need help."
"एक क्षण थांबा.","wait a moment."
"मी फक्त गंमत करत आहे.","i am just kidding."
"मला खात्री नाही.","i am not sure."
"मला कल्पना नाही.","i have no idea."
"ते सुंदर आहे.","it's beautiful."
"हे मधुर आहे.","it's delicious."
"मी आजारी आहे.","i am feeling sick."
"लवकरच बरे व्हा.","get well soon."
"आम्ही कुठे जात आहोत?","where are we going?"
"मी हरवले आहे.","i'm lost."
"आपण याची पुनरावृत्ती करू शकता?","can you repeat that?"
"हळू हळू बोला.","speak slowly."
"हे काय आहे?","what is this?"
"हे किती आहे?","how much is this?"
"मी ते घेईन.","i'll take it."
"आपल्याकडे हे दुसर्‍या रंगात आहे का?","do you have this in another color?"
"मला कुठे सापडेल ...?","where can i find...?"
"मी फक्त पहात आहे.","i'm just looking."
"आपला दिवस चांगला जावो!","have a great day!"
"तूसुद्धा!","you too!"
"शुभेच्छा!","good luck!"
"LOL","lol"
"बीआरबी","brb"
"ओएमडब्ल्यू","omw"
"बीटीडब्ल्यू","btw"
"आयएमओ","imo"
"ttyl","ttyl"
"आयडीके","idk"
"शक्य तितक्या लवकर","asap"
"FOMO","fomo"
"बकरी","goat"
"लिट","lit"
"फ्लेक्स","flex"
"खारट","salty"
"कॅप","cap"
"अभिनंदन","congrats"
"धन्यवाद","thanks"
"सुप","sup"
"यो","yo"
"मुला","dude"
"भाऊ","bro"
"sis","sis"
"माणूस","man"
"स्त्री","woman"
"मुलगी","girl"
"मुलगा","boy"
"व्यक्ती","person"
"लोक","people"
"क्षण","moment"
"मार्ग","way"
"भाग","part"
"गट","group"
"कंपनी","company"
"प्रश्न","question"
"वस्तुस्थिती","fact"
"कथा","story"
"पुस्तक","book"
"संगीत","music"
"कला","art"
"प्रतिमा","image"
"चित्र","picture"
"रंग","color"
"हवा","air"
"आग","fire"
"पृथ्वी","earth"
"सूर्य","sun"
"चंद्र","moon"
"तारा","star"
"आकाश","sky"
"समुद्र","sea"
"नदी","river"
"माउंटन","mountain"
"झाड","tree"
"फ्लॉवर","flower"
"प्राणी","animal"
"कुत्रा","dog"
"मांजर","cat"
"पक्षी","bird"
"मासे","fish"
"घर","house"
"खोली","room"
"दरवाजा","door"
"विंडो","window"
"रस्ता","street"
"रस्ता","road"
"शहर","town"
"गाव","village"
"विद्यापीठ","university"
"करिअर","career"
"किंमत","price"
"किंमत","cost"
"बदला","change"
"बातम्या","news"
"माहिती","information"
"डेटा","data"
"प्रणाली","system"
"कार्यक्रम","program"
"प्रकल्प","project"
"टीम","team"
"सदस्य","member"
"नेता","leader"
"बॉस","boss"
"विद्यार्थी","student"
"शिक्षक","teacher"
"डॉक्टर","doctor"
"वकील","lawyer"
"अभियंता","engineer"
"कलाकार","artist"
"लेखक","writer"
"प्लेअर","player"
"चाहता","fan"
"शत्रू","enemy"
"शांतता","peace"
"युद्ध","war"
"आशा","hope"
"भीती","fear"
"स्वप्न","dream"
"वास्तविकता","reality"
"सत्य","truth"
"खोटे बोलणे","lie"
"इतिहास","history"
"भविष्य","future"
"भूतकाळ","past"
"उपस्थित","present"
"कसे","How"
"फक्त","just"
"मस्करी","kidding"
"Prem","Prem"
"आहे","am"
"prem","prem"
"आहेत","are"
"ll","ll"
"सकाळची","Morning's"
"होती","was"
"हात","Hand"
"धुऊन","Washed"
"मागे","Behind"
"लागणे","To feel, to take, to hit, to touch, to stick, to get, to be needed, to start"
"वस्तू","Item"
