"வணக்கம்","hello"
"கவலைப்பட வேண்டாம்.","don't worry."
"பரவாயில்லை.","it's okay."
"அது ஆச்சரியமாக இருக்கிறது!","that's amazing!"
"நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.","i am so happy."
"நான் மிகவும் சோகமாக இருக்கிறேன்.","i am so sad."
"நான் உற்சாகமாக இருக்கிறேன்.","i am excited."
"எனக்கு சலிப்பு.","i am bored."
"நான் செல்ல வேண்டும்.","i have to go."
"நான் அங்கே இருப்பேன்.","i will be there."
"எனக்கு உதவி தேவை.","i need help."
"ஒரு கணம் காத்திருங்கள்.","wait a moment."
"நான் விளையாடுகிறேன்.","i am just kidding."
"எனக்கு நிச்சயமாகத் தெரியவில்லை.","i am not sure."
"எனக்கு எதுவும் தெரியாது.","i have no idea."
"இது அழகாக இருக்கிறது.","it's beautiful."
"இது சுவையாக இருக்கிறது.","it's delicious."
"எனக்கு உடம்பு சரியில்லை.","i am feeling sick."
"விரைவில் குணமடையுங்கள்.","get well soon."
"நாங்கள் எங்கே போகிறோம்?","where are we going?"
"நான் தொலைந்துவிட்டேன்.","i'm lost."
"அதை மீண்டும் செய்ய முடியுமா?","can you repeat that?"
"மெதுவாக பேசுங்கள்.","speak slowly."
"இது என்ன?","what is this?"
"இது எவ்வளவு?","how much is this?"
"நான் அதை எடுத்துக்கொள்வேன்.","i'll take it."
"உங்களிடம் இது மற்றொரு நிறத்தில் இருக்கிறதா?","do you have this in another color?"
"நான் எங்கே காணலாம் ...?","where can i find...?"
"நான் பார்க்கிறேன்.","i'm just looking."
"ஒரு சிறந்த நாள்!","have a great day!"
"நீங்களும்!","you too!"
"நல்ல அதிர்ஷ்டம்!","good luck!"
"lol","lol"
"Brb","brb"
"OMW","omw"
"btw","btw"
"IMO","imo"
"ttyl","ttyl"
"idk","idk"
"விரைவில்","asap"
"ஃபோமோ","fomo"
"ஆடு","goat"
"லைட்","lit"
"நெகிழ்வு","flex"
"உப்பு","salty"
"தொப்பி","cap"
"வாழ்த்துக்கள்","congrats"
"நன்றி","thanks"
"சுப்","sup"
"யோ","yo"
"கனா","dude"
"சகோ","bro"
"சிஸ்","sis"
"மனிதன்","man"
"பெண்","woman"
"பெண்","girl"
"பையன்","boy"
"நபர்","person"
"மக்கள்","people"
"கணம்","moment"
"வழி","way"
"பகுதி","part"
"குழு","group"
"நிறுவனம்","company"
"கேள்வி","question"
"உண்மை","fact"
"கதை","story"
"புத்தகம்","book"
"இசை","music"
"கலை","art"
"படம்","image"
"படம்","picture"
"நிறம்","color"
"காற்று","air"
"தீ","fire"
"பூமி","earth"
"சூரியன்","sun"
"சந்திரன்","moon"
"நட்சத்திரம்","star"
"வானம்","sky"
"கடல்","sea"
"நதி","river"
"மலை","mountain"
"மரம்","tree"
"மலர்","flower"
"விலங்கு","animal"
"நாய்","dog"
"பூனை","cat"
"பறவை","bird"
"மீன்","fish"
"வீடு","house"
"அறை","room"
"கதவு","door"
"சாளரம்","window"
"தெரு","street"
"சாலை","road"
"நகரம்","town"
"கிராமம்","village"
"பல்கலைக்கழகம்","university"
"தொழில்","career"
"விலை","price"
"செலவு","cost"
"மாற்றம்","change"
"செய்தி","news"
"தகவல்","information"
"தரவு","data"
"அமைப்பு","system"
"திட்டம்","program"
"திட்டம்","project"
"அணி","team"
"உறுப்பினர்","member"
"தலைவர்","leader"
"பாஸ்","boss"
"மாணவர்","student"
"ஆசிரியர்","teacher"
"மருத்துவர்","doctor"
"வழக்கறிஞர்","lawyer"
"பொறியாளர்","engineer"
"கலைஞர்","artist"
"எழுத்தாளர்","writer"
"வீரர்","player"
"விசிறி","fan"
"எதிரி","enemy"
"அமைதி","peace"
"போர்","war"
"நம்பிக்கை","hope"
"பயம்","fear"
"கனவு","dream"
"உண்மை","reality"
"உண்மை","truth"
"பொய்","lie"
"வரலாறு","history"
"எதிர்காலம்","future"
"கடந்த","past"
"தற்போது","present"
"எப்படி","How"
"மட்டும்","just"
"சும்மா சொன்னேன்","kidding"
"ப்ரேம்","Prem"
"இருக்கிறேன்","am"
"ப்ரேம்","prem"
"இருக்கிறார்கள்","are"
"ll","ll"
"உனக்காக","For you"
