"హలో","हॅलो"
"వేగంగా","वेगवान"
"నెమ్మదిగా","हळू"
"ప్రారంభంలో","लवकर"
"ఆలస్యంగా","उशीरा"
"మరియు","आणि"
"కానీ","पण"
"లేదా","किंवा"
"ఎందుకంటే","कारण"
"ఉంటే","जर"
"కోసం","साठी"
"ఇన్","मध्ये"
"ఆన్","चालू"
"వద్ద","वर"
"to","टू"
"తో","सह"
"నుండి","पासून"
"గురించి","बद्दल"
"యొక్క","च्या"
"నేను బాగున్నాను, ధన్యవాదాలు.","मी ठीक आहे, धन्यवाद."
"నా పేరు ...","माझे नाव आहे ..."
"మిమ్మల్ని కలవడం ఆనందంగా ఉంది.","तुला भेटून आनंद झाला."
"నన్ను క్షమించండి.","मला माफ करा."
"నేను నుండి ...","मी पासून आहे ..."
"మీరు నాకు సహాయం చేయగలరా?","आपण मला मदत करू शकता?"
"నాకు తెలియదు.","मला माहित नाही."
"నాకు అర్థం కాలేదు.","मला समजत नाही."
"వెళ్దాం.","चला जाऊया."
"పెద్దగా ఏమీ లేదు.","जास्त काही नाही."
"ఇది మంచిది.","ते चांगले होते."
"నాకు దాహం ఉంది.","मला तहान लागली आहे."
"రెస్ట్‌రూమ్ ఎక్కడ ఉంది?","प्रसाधनगृह कुठे आहे?"
"నేను విశ్రాంతి తీసుకోవాలి.","मला विश्रांती घेण्याची गरज आहे."
"తరువాత మీతో మాట్లాడండి.","नंतर आपल्याशी बोला."
"నా మార్గంలో.","माझ्या मार्गावर."
"వెంటనే తిరిగి ఉండండి.","बरोबर परत व्हा."
"అది ఫన్నీ.","ते मजेदार आहे."
"అది చాలా బాగుంది!","ते छान आहे!"
"ఓహ్ మై గాడ్!","अरे देवा!"
"అభినందనలు!","अभिनंदन!"
"పుట్టినరోజు శుభాకాంక్షలు!","वाढदिवसाच्या हार्दिक शुभेच्छा!"
"నేను మిస్ మిస్.","मला तुझी आठवण येते."
"నేను నిన్ను ప్రేమిస్తున్నాను.","मी तुझ्यावर प्रेम करतो."
"నన్ను పిలవండి.","मला कॉल करा."
"నాకు టెక్స్ట్ చేయండి.","मला मजकूर पाठवा."
"ఈ రోజు మీ ప్రణాళికలు ఏమిటి?","आज आपल्या काय योजना आहेत?"
"మీరు రేపు స్వేచ్ఛగా ఉన్నారా?","आपण उद्या मुक्त आहात?"
"నేను దాని కోసం ఎదురు చూస్తున్నాను.","मी याची अपेक्षा करीत आहे."
"ఇది అత్యవసరం.","हे तातडीचे आहे."
"చింతించకండి.","काळजी करू नका."
"ఇది సరే.","हे ठीक आहे."
"ఇది అద్భుతమైనది!","ते आश्चर्यकारक आहे!"
"నేను చాలా సంతోషంగా ఉన్నాను.","मी खूप आनंदी आहे."
"నేను చాలా విచారంగా ఉన్నాను.","मी खूप दु: खी आहे."
"నేను సంతోషిస్తున్నాను.","मी उत्साहित आहे."
"నేను విసుగు చెందాను.","मी कंटाळलो आहे."
"నేను వెళ్ళాలి.","मला जावे लागेल."
"నేను అక్కడ ఉంటాను.","मी तिथे असेल."
"నాకు సహాయం కావాలి.","मला मदतीची आवश्यकता आहे."
"ఒక్క క్షణం వేచి ఉండండి.","एक क्षण थांबा."
"నేను తమాషా చేస్తున్నాను.","मी फक्त गंमत करत आहे."
"నాకు ఖచ్చితంగా తెలియదు.","मला खात्री नाही."
"నాకు తెలియదు.","मला कल्पना नाही."
"ఇది అందంగా ఉంది.","ते सुंदर आहे."
"ఇది రుచికరమైనది.","हे मधुर आहे."
"నేను అనారోగ్యంతో ఉన్నాను.","मी आजारी आहे."
"త్వరగా బాగుపడండి.","लवकरच बरे व्हा."
"మేము ఎక్కడికి వెళ్తున్నాము?","आम्ही कुठे जात आहोत?"
"నేను కోల్పోయాను.","मी हरवले आहे."
"మీరు దానిని పునరావృతం చేయగలరా?","आपण याची पुनरावृत्ती करू शकता?"
"నెమ్మదిగా మాట్లాడండి.","हळू हळू बोला."
"ఇది ఏమిటి?","हे काय आहे?"
"ఇది ఎంత?","हे किती आहे?"
"నేను తీసుకుంటాను.","मी ते घेईन."
"మీకు ఇది మరొక రంగులో ఉందా?","आपल्याकडे हे दुसर्‍या रंगात आहे का?"
"నేను ఎక్కడ కనుగొనగలను ...?","मला कुठे सापडेल ...?"
"నేను చూస్తున్నాను.","मी फक्त पहात आहे."
"గొప్ప రోజు!","आपला दिवस चांगला जावो!"
"మీరు కూడా!","तूसुद्धा!"
"అదృష్టం!","शुभेच्छा!"
"lol","LOL"
"brb","बीआरबी"
"OMW","ओएमडब्ल्यू"
"btw","बीटीडब्ल्यू"
"IMO","आयएमओ"
"TTYL","ttyl"
"idk","आयडीके"
"ASAP","शक्य तितक्या लवकर"
"ఫోమో","FOMO"
"మేక","बकरी"
"వెలిగించండి","लिट"
"ఫ్లెక్స్","फ्लेक्स"
"ఉప్పగా","खारट"
"టోపీ","कॅप"
"అభినందనలు","अभिनंदन"
"ధన్యవాదాలు","धन्यवाद"
"sup","सुप"
"యో","यो"
"వాసి","मुला"
"బ్రో","भाऊ"
"సిస్","sis"
"మనిషి","माणूस"
"స్త్రీ","स्त्री"
"అమ్మాయి","मुलगी"
"అబ్బాయి","मुलगा"
"వ్యక్తి","व्यक्ती"
"ప్రజలు","लोक"
"క్షణం","क्षण"
"మార్గం","मार्ग"
"భాగం","भाग"
"సమూహం","गट"
"కంపెనీ","कंपनी"
"ప్రశ్న","प्रश्न"
"వాస్తవం","वस्तुस्थिती"
"కథ","कथा"
"పుస్తకం","पुस्तक"
"సంగీతం","संगीत"
"కళ","कला"
"చిత్రం","प्रतिमा"
"చిత్రం","चित्र"
"రంగు","रंग"
"గాలి","हवा"
"అగ్ని","आग"
"భూమి","पृथ्वी"
"సూర్యుడు","सूर्य"
"చంద్రుడు","चंद्र"
"స్టార్","तारा"
"ఆకాశం","आकाश"
"సముద్రం","समुद्र"
"నది","नदी"
"పర్వతం","माउंटन"
"చెట్టు","झाड"
"పువ్వు","फ्लॉवर"
"జంతువు","प्राणी"
"కుక్క","कुत्रा"
"పిల్లి","मांजर"
"పక్షి","पक्षी"
"చేప","मासे"
"ఇల్లు","घर"
"గది","खोली"
"తలుపు","दरवाजा"
"విండో","विंडो"
"వీధి","रस्ता"
"రోడ్","रस्ता"
"పట్టణం","शहर"
"గ్రామం","गाव"
"విశ్వవిద్యాలయం","विद्यापीठ"
"కెరీర్","करिअर"
"ధర","किंमत"
"ఖర్చు","किंमत"
"మార్పు","बदला"
"వార్తలు","बातम्या"
"సమాచారం","माहिती"
"డేటా","डेटा"
"వ్యవస్థ","प्रणाली"
"ప్రోగ్రామ్","कार्यक्रम"
"ప్రాజెక్ట్","प्रकल्प"
"జట్టు","टीम"
"సభ్యుడు","सदस्य"
"నాయకుడు","नेता"
"బాస్","बॉस"
"విద్యార్థి","विद्यार्थी"
"గురువు","शिक्षक"
"డాక్టర్","डॉक्टर"
"న్యాయవాది","वकील"
"ఇంజనీర్","अभियंता"
"కళాకారుడు","कलाकार"
"రచయిత","लेखक"
"ప్లేయర్","प्लेअर"
"అభిమాని","चाहता"
"శత్రువు","शत्रू"
"శాంతి","शांतता"
"యుద్ధం","युद्ध"
"హోప్","आशा"
"భయం","भीती"
"కల","स्वप्न"
"రియాలిటీ","वास्तविकता"
"నిజం","सत्य"
"అబద్ధం","खोटे बोलणे"
"చరిత్ర","इतिहास"
"భవిష్యత్తు","भविष्य"
"గత","भूतकाळ"
"ప్రస్తుతం","उपस्थित"
"ఎలా","कसे"
"కేవలం","फक्त"
"kidding","मस्करी"
"ప్రేమ","Prem"
"ఉన్నాను","आहे"
"prem","prem"
"ఉన్నారు","आहेत"
