"hello","హలో"
"listen","వినండి"
"eat","తినండి"
"drink","పానీయం"
"sleep","నిద్ర"
"wait","వేచి ఉండండి"
"talk","చర్చ"
"speak","మాట్లాడండి"
"say","చెప్పండి"
"tell","చెప్పండి"
"ask","అడగండి"
"answer","సమాధానం"
"know","తెలుసు"
"think","ఆలోచించండి"
"understand","అర్థం చేసుకోండి"
"mean","సగటు"
"play","ఆడండి"
"like","ఇష్టం"
"hate","ద్వేషం"
"want","కావాలి"
"need","అవసరం"
"give","ఇవ్వండి"
"take","తీసుకోండి"
"send","పంపండి"
"receive","స్వీకరించండి"
"call","కాల్"
"meet","కలుసుకోండి"
"start","ప్రారంభించండి"
"stop","ఆపు"
"finish","ముగించు"
"try","ప్రయత్నించండి"
"do","చేయండి"
"make","చేయండి"
"happy","సంతోషంగా ఉంది"
"sad","విచారంగా ఉంది"
"angry","కోపం"
"tired","అలసిపోతుంది"
"hungry","ఆకలితో"
"busy","బిజీ"
"free","ఉచితం"
"new","క్రొత్తది"
"old","పాత"
"big","పెద్దది"
"small","చిన్నది"
"long","లాంగ్"
"short","చిన్నది"
"hot","వేడి"
"cold","చలి"
"nice","బాగుంది"
"beautiful","అందమైన"
"awesome","అద్భుతం"
"amazing","అమేజింగ్"
"really","నిజంగా"
"very","చాలా"
"so","కాబట్టి"
"too","చాలా"
"then","అప్పుడు"
"sometimes","కొన్నిసార్లు"
"often","తరచుగా"
"again","మళ్ళీ"
"fast","వేగంగా"
"slow","నెమ్మదిగా"
"early","ప్రారంభంలో"
"late","ఆలస్యంగా"
"and","మరియు"
"but","కానీ"
"or","లేదా"
"because","ఎందుకంటే"
"if","ఉంటే"
"for","కోసం"
"in","ఇన్"
"on","ఆన్"
"at","వద్ద"
"to","to"
"with","తో"
"from","నుండి"
"about","గురించి"
"of","యొక్క"
"i am fine, thank you.","నేను బాగున్నాను, ధన్యవాదాలు."
"my name is...","నా పేరు ..."
"nice to meet you.","మిమ్మల్ని కలవడం ఆనందంగా ఉంది."
"i'm sorry.","నన్ను క్షమించండి."
"i am from...","నేను నుండి ..."
"can you help me?","మీరు నాకు సహాయం చేయగలరా?"
"i don't know.","నాకు తెలియదు."
"i don't understand.","నాకు అర్థం కాలేదు."
"let's go.","వెళ్దాం."
"nothing much.","పెద్దగా ఏమీ లేదు."
"it was good.","ఇది మంచిది."
"i am thirsty.","నాకు దాహం ఉంది."
"where is the restroom?","రెస్ట్‌రూమ్ ఎక్కడ ఉంది?"
"i need to rest.","నేను విశ్రాంతి తీసుకోవాలి."
"talk to you later.","తరువాత మీతో మాట్లాడండి."
"on my way.","నా మార్గంలో."
"be right back.","వెంటనే తిరిగి ఉండండి."
"that's funny.","అది ఫన్నీ."
"that's great!","అది చాలా బాగుంది!"
"oh my god!","ఓహ్ మై గాడ్!"
"congratulations!","అభినందనలు!"
"happy birthday!","పుట్టినరోజు శుభాకాంక్షలు!"
"i miss you.","నేను మిస్ మిస్."
"i love you.","నేను నిన్ను ప్రేమిస్తున్నాను."
"call me.","నన్ను పిలవండి."
"text me.","నాకు టెక్స్ట్ చేయండి."
"what are your plans for today?","ఈ రోజు మీ ప్రణాళికలు ఏమిటి?"
"are you free tomorrow?","మీరు రేపు స్వేచ్ఛగా ఉన్నారా?"
"i am looking forward to it.","నేను దాని కోసం ఎదురు చూస్తున్నాను."
"it's urgent.","ఇది అత్యవసరం."
"don't worry.","చింతించకండి."
"it's okay.","ఇది సరే."
"that's amazing!","ఇది అద్భుతమైనది!"
"i am so happy.","నేను చాలా సంతోషంగా ఉన్నాను."
"i am so sad.","నేను చాలా విచారంగా ఉన్నాను."
"i am excited.","నేను సంతోషిస్తున్నాను."
"i am bored.","నేను విసుగు చెందాను."
"i have to go.","నేను వెళ్ళాలి."
"i will be there.","నేను అక్కడ ఉంటాను."
"i need help.","నాకు సహాయం కావాలి."
"wait a moment.","ఒక్క క్షణం వేచి ఉండండి."
"i am just kidding.","నేను తమాషా చేస్తున్నాను."
"i am not sure.","నాకు ఖచ్చితంగా తెలియదు."
"i have no idea.","నాకు తెలియదు."
"it's beautiful.","ఇది అందంగా ఉంది."
"it's delicious.","ఇది రుచికరమైనది."
"i am feeling sick.","నేను అనారోగ్యంతో ఉన్నాను."
"get well soon.","త్వరగా బాగుపడండి."
"where are we going?","మేము ఎక్కడికి వెళ్తున్నాము?"
"i'm lost.","నేను కోల్పోయాను."
"can you repeat that?","మీరు దానిని పునరావృతం చేయగలరా?"
"speak slowly.","నెమ్మదిగా మాట్లాడండి."
"what is this?","ఇది ఏమిటి?"
"how much is this?","ఇది ఎంత?"
"i'll take it.","నేను తీసుకుంటాను."
"do you have this in another color?","మీకు ఇది మరొక రంగులో ఉందా?"
"where can i find...?","నేను ఎక్కడ కనుగొనగలను ...?"
"i'm just looking.","నేను చూస్తున్నాను."
"have a great day!","గొప్ప రోజు!"
"you too!","మీరు కూడా!"
"good luck!","అదృష్టం!"
"lol","lol"
"brb","brb"
"omw","OMW"
"btw","btw"
"imo","IMO"
"ttyl","TTYL"
"idk","idk"
"asap","ASAP"
"fomo","ఫోమో"
"goat","మేక"
"lit","వెలిగించండి"
"flex","ఫ్లెక్స్"
"salty","ఉప్పగా"
"cap","టోపీ"
"congrats","అభినందనలు"
"thanks","ధన్యవాదాలు"
"sup","sup"
"yo","యో"
"dude","వాసి"
"bro","బ్రో"
"sis","సిస్"
"man","మనిషి"
"woman","స్త్రీ"
"girl","అమ్మాయి"
"boy","అబ్బాయి"
"person","వ్యక్తి"
"people","ప్రజలు"
"moment","క్షణం"
"way","మార్గం"
"part","భాగం"
"group","సమూహం"
"company","కంపెనీ"
"question","ప్రశ్న"
"fact","వాస్తవం"
"story","కథ"
"book","పుస్తకం"
"music","సంగీతం"
"art","కళ"
"image","చిత్రం"
"picture","చిత్రం"
"color","రంగు"
"air","గాలి"
"fire","అగ్ని"
"earth","భూమి"
"sun","సూర్యుడు"
"moon","చంద్రుడు"
"star","స్టార్"
"sky","ఆకాశం"
"sea","సముద్రం"
"river","నది"
"mountain","పర్వతం"
"tree","చెట్టు"
"flower","పువ్వు"
"animal","జంతువు"
"dog","కుక్క"
"cat","పిల్లి"
"bird","పక్షి"
"fish","చేప"
"house","ఇల్లు"
"room","గది"
"door","తలుపు"
"window","విండో"
"street","వీధి"
"road","రోడ్"
"town","పట్టణం"
"village","గ్రామం"
"university","విశ్వవిద్యాలయం"
"career","కెరీర్"
"price","ధర"
"cost","ఖర్చు"
"change","మార్పు"
"news","వార్తలు"
"information","సమాచారం"
"data","డేటా"
"system","వ్యవస్థ"
"program","ప్రోగ్రామ్"
"project","ప్రాజెక్ట్"
"team","జట్టు"
"member","సభ్యుడు"
"leader","నాయకుడు"
"boss","బాస్"
"student","విద్యార్థి"
"teacher","గురువు"
"doctor","డాక్టర్"
"lawyer","న్యాయవాది"
"engineer","ఇంజనీర్"
"artist","కళాకారుడు"
"writer","రచయిత"
"player","ప్లేయర్"
"fan","అభిమాని"
"enemy","శత్రువు"
"peace","శాంతి"
"war","యుద్ధం"
"hope","హోప్"
"fear","భయం"
"dream","కల"
"reality","రియాలిటీ"
"truth","నిజం"
"lie","అబద్ధం"
"history","చరిత్ర"
"future","భవిష్యత్తు"
"past","గత"
"present","ప్రస్తుతం"
"How","ఎలా"
"just","కేవలం"
"Prem","ప్రేమ"
"am","ఉన్నాను"
"are","ఉన్నారు"
"Hiii","హాయ్"
"1000208570","నూరు కోట్ల రెండు లక్షల ఎనిమిది వేల ఐదు వందల డెబ్బై"
"jpg","jpg"
"Break","విరామం"
"a",""
"leg",""
"IMG","చిత్రం"
"20250915","పదిహేను సెప్టెంబరు రెండు వేల ఇరవై ఐదు"
"WA0001","WA0001"
"He'll","అతను"
"nikhil","నిఖిల్"
"athleisure","అతలీజర్"
"looking","చూడటం"
"gorgeous","అందమైన"
"felt","ఫెల్ట్"
"off","ఇది సందర్భాన్ని బట్టి మారుతుంది, సాధారణంగా ఒక వస్తువు ఆగిపోయిన స్థితిని, లేదా మరొక దాని నుండి వేరు చేయబడిన స్థితిని సూచిస్తుంది."
"even","కూడా"
"didn't","లేదు"
"Saw","రంపం"
